0, 0.1, 0.1, 0.6, x+, y+, y+, 1, 0, 1
1, 0.2, 0.2, 0.7, x+, y+, y+, 2, 0, 2
2, 0.1, 0.1, 0.6, x-, y-, y-, 2, 1, 2
3, 0.2, 0.0, 0.5, x+, y-, y-, 3, 1, 2
4, 0.1, -0.1, 0.6, x-, y-, y+, 3, 2, 2
5, 0.0, 0.0, 0.5, x-, y+, y-, 3, 3, 3
6, 0.1, -0.1, 0.4, x+, y-, y-, 4, 3, 3
7, 0.2, -0.2, 0.30000000000000004, x+, y-, y-, 5, 3, 3
8, 0.30000000000000004, -0.1, 0.20000000000000004, x+, y+, y-, 6, 3, 4
9, 0.20000000000000004, 0.0, 0.30000000000000004, x-, y+, y+, 6, 4, 5
10, 0.30000000000000004, 0.1, 0.20000000000000004, x+, y+, y-, 7, 4, 6
11, 0.20000000000000004, 0.2, 0.10000000000000003, x-, y+, y-, 7, 5, 7
12, 0.30000000000000004, 0.30000000000000004, 0.20000000000000004, x+, y+, y+, 8, 5, 8
13, 0.4, 0.20000000000000004, 0.30000000000000004, x+, y-, y+, 9, 5, 8
14, 0.5, 0.10000000000000003, 0.20000000000000004, x+, y-, y-, 10, 5, 8
15, 0.6, 0.20000000000000004, 0.30000000000000004, x+, y+, y+, 11, 5, 9
16, 0.7, 0.10000000000000003, 0.20000000000000004, x+, y-, y-, 12, 5, 9
17, 0.7999999999999999, 2.7755575615628914e-17, 0.10000000000000003, x+, y-, y-, 13, 5, 9
18, 0.8999999999999999, -0.09999999999999998, 0.10000000000000003, x+, y-, y-, 14, 5, 9
19, 0.9999999999999999, 2.7755575615628914e-17, 0.10000000000000003, x+, y+, y-, 15, 5, 10
20, 1.0999999999999999, 0.10000000000000003, 0.20000000000000004, x+, y+, y+, 16, 5, 11
21, 1.2, 0.20000000000000004, 0.10000000000000003, x+, y+, y-, 17, 5, 12
22, 1.0999999999999999, 0.10000000000000003, 0.20000000000000004, x-, y-, y+, 17, 6, 12
23, 1.2, 2.7755575615628914e-17, 0.10000000000000003, x+, y-, y-, 18, 6, 12
24, 1.3, 0.10000000000000003, 0.10000000000000003, x+, y+, y-, 19, 6, 13
25, 1.2, 0.20000000000000004, 0.10000000000000003, x-, y+, y-, 19, 7, 14
26, 1.0999999999999999, 0.30000000000000004, 0.10000000000000003, x-, y+, y-, 19, 8, 15
27, 0.9999999999999999, 0.20000000000000004, 0.20000000000000004, x-, y-, y+, 19, 9, 15
28, 1.0999999999999999, 0.10000000000000003, 0.30000000000000004, x+, y-, y+, 20, 9, 15
29, 0.9999999999999999, 2.7755575615628914e-17, 0.4, x-, y-, y+, 20, 10, 15
30, 0.8999999999999999, 0.10000000000000003, 0.30000000000000004, x-, y+, y-, 20, 11, 16
31, 0.9999999999999999, 2.7755575615628914e-17, 0.4, x+, y-, y+, 21, 11, 16
32, 0.8999999999999999, -0.09999999999999998, 0.5, x-, y-, y+, 21, 12, 16
33, 0.9999999999999999, 2.7755575615628914e-17, 0.4, x+, y+, y-, 22, 12, 17
34, 1.0999999999999999, -0.09999999999999998, 0.30000000000000004, x+, y-, y-, 23, 12, 17
35, 1.2, -0.19999999999999998, 0.4, x+, y-, y+, 24, 12, 17
36, 1.3, -0.09999999999999998, 0.30000000000000004, x+, y+, y-, 25, 12, 18
37, 1.2, -0.19999999999999998, 0.20000000000000004, x-, y-, y-, 25, 13, 18
38, 1.3, -0.3, 0.30000000000000004, x+, y-, y+, 26, 13, 18
39, 1.2, -0.4, 0.4, x-, y-, y+, 26, 14, 18
