0, 0.1, -0.1, 0.4, x+, y-, y-, 1, 0, 0
1, 0.2, 0.0, 0.5, x+, y+, y+, 2, 0, 1
2, 0.1, -0.1, 0.4, x-, y-, y-, 2, 1, 1
3, 0.2, -0.2, 0.5, x+, y-, y+, 3, 1, 1
4, 0.1, -0.1, 0.6, x-, y+, y+, 3, 2, 2
5, 0.2, 0.0, 0.7, x+, y+, y+, 4, 2, 3
6, 0.1, 0.1, 0.6, x-, y+, y-, 4, 3, 4
7, 0.2, 0.0, 0.5, x+, y-, y-, 5, 3, 4
8, 0.1, 0.1, 0.4, x-, y+, y-, 5, 4, 5
9, 0.2, 0.2, 0.5, x+, y+, y+, 6, 4, 6
10, 0.1, 0.30000000000000004, 0.6, x-, y+, y+, 6, 5, 7
11, 0.0, 0.20000000000000004, 0.5, x-, y-, y-, 6, 6, 7
12, -0.1, 0.10000000000000003, 0.4, x-, y-, y-, 6, 7, 7
13, -0.2, 2.7755575615628914e-17, 0.30000000000000004, x-, y-, y-, 6, 8, 7
14, -0.1, -0.09999999999999998, 0.4, x+, y-, y+, 7, 8, 7
15, 0.0, 2.7755575615628914e-17, 0.5, x+, y+, y+, 8, 8, 8
16, -0.1, -0.09999999999999998, 0.6, x-, y-, y+, 8, 9, 8
17, -0.2, -0.19999999999999998, 0.5, x-, y-, y-, 8, 10, 8
18, -0.30000000000000004, -0.3, 0.4, x-, y-, y-, 8, 11, 8
19, -0.20000000000000004, -0.4, 0.30000000000000004, x+, y-, y-, 9, 11, 8
20, -0.30000000000000004, -0.5, 0.4, x-, y-, y+, 9, 12, 8
21, -0.20000000000000004, -0.4, 0.5, x+, y+, y+, 10, 12, 9
22, -0.10000000000000003, -0.5, 0.4, x+, y-, y-, 11, 12, 9
23, -2.7755575615628914e-17, -0.6, 0.30000000000000004, x+, y-, y-, 12, 12, 9
24, 0.09999999999999998, -0.5, 0.4, x+, y+, y+, 13, 12, 10
25, 0.19999999999999998, -0.6, 0.30000000000000004, x+, y-, y-, 14, 12, 10
26, 0.3, -0.5, 0.4, x+, y+, y+, 15, 12, 11
27, 0.19999999999999998, -0.6, 0.30000000000000004, x-, y-, y-, 15, 13, 11
28, 0.09999999999999998, -0.5, 0.4, x-, y+, y+, 15, 14, 12
29, 0.19999999999999998, -0.4, 0.5, x+, y+, y+, 16, 14, 13
30, 0.3, -0.30000000000000004, 0.4, x+, y+, y-, 17, 14, 14
31, 0.4, -0.20000000000000004, 0.5, x+, y+, y+, 18, 14, 15
32, 0.30000000000000004, -0.30000000000000004, 0.4, x-, y-, y-, 18, 15, 15
33, 0.20000000000000004, -0.4, 0.5, x-, y-, y+, 18, 16, 15
34, 0.10000000000000003, -0.5, 0.4, x-, y-, y-, 18, 17, 15
35, 2.7755575615628914e-17, -0.6, 0.30000000000000004, x-, y-, y-, 18, 18, 15
36, 0.10000000000000003, -0.7, 0.4, x+, y-, y+, 19, 18, 15
37, 0.20000000000000004, -0.7999999999999999, 0.5, x+, y-, y+, 20, 18, 15
38, 0.30000000000000004, -0.8999999999999999, 0.6, x+, y-, y+, 21, 18, 15
39, 0.4, -0.7999999999999999, 0.5, x+, y+, y-, 22, 18, 16
40, 0.5, -0.7, 0.4, x+, y+, y-, 23, 18, 17
41, 0.6, -0.7999999999999999, 0.5, x+, y-, y+, 24, 18, 17
42, 0.5, -0.7, 0.6, x-, y+, y+, 24, 19, 18
43, 0.4, -0.7999999999999999, 0.5, x-, y-, y-, 24, 20, 18
44, 0.5, -0.7, 0.4, x+, y+, y-, 25, 20, 19
45, 0.6, -0.6, 0.5, x+, y+, y+, 26, 20, 20
46, 0.5, -0.7, 0.6, x-, y-, y+, 26, 21, 20
47, 0.6, -0.7999999999999999, 0.7, x+, y-, y+, 27, 21, 20
48, 0.7, -0.8999999999999999, 0.6, x+, y-, y-, 28, 21, 20
49, 0.7999999999999999, -0.7999999999999999, 0.5, x+, y+, y-, 29, 21, 21
