0, -0.1, 0.1, 0.4, x-, y+, y-, 0, 1, 1
1, 0.0, 0.0, 0.30000000000000004, x+, y-, y-, 1, 1, 1
2, 0.1, -0.1, 0.20000000000000004, x+, y-, y-, 2, 1, 1
3, 0.0, 0.0, 0.10000000000000003, x-, y+, y-, 2, 2, 2
4, -0.1, -0.1, 2.7755575615628914e-17, x-, y-, y-, 2, 3, 2
5, -0.2, -0.2, 0.10000000000000003, x-, y-, y+, 2, 4, 2
6, -0.30000000000000004, -0.1, 0.20000000000000004, x-, y+, y+, 2, 5, 3
7, -0.4, -0.2, 0.10000000000000003, x-, y-, y-, 2, 6, 3
8, -0.5, -0.1, 2.7755575615628914e-17, x-, y+, y-, 2, 7, 4
9, -0.4, 0.0, 2.7755575615628914e-17, x+, y+, y-, 3, 7, 5
10, -0.5, 0.1, 2.7755575615628914e-17, x-, y+, y-, 3, 8, 6
11, -0.4, 0.0, 2.7755575615628914e-17, x+, y-, y-, 4, 8, 6
12, -0.30000000000000004, 0.1, 0.10000000000000003, x+, y+, y+, 5, 8, 7
13, -0.4, 0.0, 2.7755575615628914e-17, x-, y-, y-, 5, 9, 7
14, -0.5, 0.1, 0.10000000000000003, x-, y+, y+, 5, 10, 8
15, -0.6, 0.0, 0.20000000000000004, x-, y-, y+, 5, 11, 8
16, -0.7, -0.1, 0.30000000000000004, x-, y-, y+, 5, 12, 8
17, -0.6, 0.0, 0.4, x+, y+, y+, 6, 12, 9
18, -0.5, -0.1, 0.30000000000000004, x+, y-, y-, 7, 12, 9
19, -0.6, -0.2, 0.4, x-, y-, y+, 7, 13, 9
20, -0.5, -0.1, 0.30000000000000004, x+, y+, y-, 8, 13, 10
21, -0.6, 0.0, 0.20000000000000004, x-, y+, y-, 8, 14, 11
22, -0.5, 0.1, 0.10000000000000003, x+, y+, y-, 9, 14, 12
23, -0.4, 0.2, 2.7755575615628914e-17, x+, y+, y-, 10, 14, 13
24, -0.5, 0.30000000000000004, 0.10000000000000003, x-, y+, y+, 10, 15, 14
25, -0.4, 0.20000000000000004, 0.20000000000000004, x+, y-, y+, 11, 15, 14
26, -0.30000000000000004, 0.10000000000000003, 0.30000000000000004, x+, y-, y+, 12, 15, 14
27, -0.20000000000000004, 0.20000000000000004, 0.20000000000000004, x+, y+, y-, 13, 15, 15
28, -0.10000000000000003, 0.10000000000000003, 0.10000000000000003, x+, y-, y-, 14, 15, 15
29, -0.20000000000000004, 2.7755575615628914e-17, 2.7755575615628914e-17, x-, y-, y-, 14, 16, 15
30, -0.30000000000000004, 0.10000000000000003, 2.7755575615628914e-17, x-, y+, y-, 14, 17, 16
31, -0.4, 2.7755575615628914e-17, 2.7755575615628914e-17, x-, y-, y-, 14, 18, 16
32, -0.30000000000000004, -0.09999999999999998, 2.7755575615628914e-17, x+, y-, y-, 15, 18, 16
33, -0.20000000000000004, -0.19999999999999998, 2.7755575615628914e-17, x+, y-, y-, 16, 18, 16
34, -0.10000000000000003, -0.09999999999999998, 0.10000000000000003, x+, y+, y+, 17, 18, 17
35, -2.7755575615628914e-17, 2.7755575615628914e-17, 2.7755575615628914e-17, x+, y+, y-, 18, 18, 18
36, 0.09999999999999998, 0.10000000000000003, 2.7755575615628914e-17, x+, y+, y-, 19, 18, 19
37, 0.19999999999999998, 2.7755575615628914e-17, 0.10000000000000003, x+, y-, y+, 20, 18, 19
38, 0.09999999999999998, 0.10000000000000003, 2.7755575615628914e-17, x-, y+, y-, 20, 19, 20
39, -2.7755575615628914e-17, 2.7755575615628914e-17, 0.10000000000000003, x-, y-, y+, 20, 20, 20
