0, 0.1, -0.1, 0.6, x+, y-, y+, 1, 0, 0
1, 0.0, 0.0, 0.5, x-, y+, y-, 1, 1, 1
2, -0.1, 0.1, 0.4, x-, y+, y-, 1, 2, 2
3, 0.0, 0.0, 0.30000000000000004, x+, y-, y-, 2, 2, 2
4, 0.1, -0.1, 0.4, x+, y-, y+, 3, 2, 2
5, 0.2, 0.0, 0.30000000000000004, x+, y+, y-, 4, 2, 3
6, 0.1, -0.1, 0.4, x-, y-, y+, 4, 3, 3
7, 0.0, 0.0, 0.30000000000000004, x-, y+, y-, 4, 4, 4
8, 0.1, 0.1, 0.4, x+, y+, y+, 5, 4, 5
9, 0.0, 0.2, 0.30000000000000004, x-, y+, y-, 5, 5, 6
10, -0.1, 0.1, 0.4, x-, y-, y+, 5, 6, 6
11, 0.0, 0.0, 0.30000000000000004, x+, y-, y-, 6, 6, 6
12, 0.1, 0.1, 0.4, x+, y+, y+, 7, 6, 7
13, 0.2, 0.0, 0.5, x+, y-, y+, 8, 6, 7
14, 0.1, 0.1, 0.6, x-, y+, y+, 8, 7, 8
15, 0.0, 0.2, 0.7, x-, y+, y+, 8, 8, 9
16, -0.1, 0.30000000000000004, 0.6, x-, y+, y-, 8, 9, 10
17, 0.0, 0.20000000000000004, 0.7, x+, y-, y+, 9, 9, 10
18, 0.1, 0.10000000000000003, 0.7999999999999999, x+, y-, y+, 10, 9, 10
19, 0.2, 2.7755575615628914e-17, 0.8999999999999999, x+, y-, y+, 11, 9, 10
20, 0.30000000000000004, 0.10000000000000003, 0.7999999999999999, x+, y+, y-, 12, 9, 11
21, 0.4, 0.20000000000000004, 0.8999999999999999, x+, y+, y+, 13, 9, 12
22, 0.30000000000000004, 0.30000000000000004, 0.7999999999999999, x-, y+, y-, 13, 10, 13
23, 0.4, 0.4, 0.7, x+, y+, y-, 14, 10, 14
24, 0.5, 0.5, 0.7999999999999999, x+, y+, y+, 15, 10, 15
25, 0.4, 0.4, 0.7, x-, y-, y-, 15, 11, 15
26, 0.30000000000000004, 0.5, 0.7999999999999999, x-, y+, y+, 15, 12, 16
27, 0.4, 0.4, 0.7, x+, y-, y-, 16, 12, 16
28, 0.5, 0.5, 0.7999999999999999, x+, y+, y+, 17, 12, 17
29, 0.4, 0.4, 0.8999999999999999, x-, y-, y+, 17, 13, 17
30, 0.30000000000000004, 0.5, 0.9999999999999999, x-, y+, y+, 17, 14, 18
31, 0.4, 0.6, 1.0999999999999999, x+, y+, y+, 18, 14, 19
32, 0.5, 0.7, 0.9999999999999999, x+, y+, y-, 19, 14, 20
33, 0.6, 0.6, 1.0999999999999999, x+, y-, y+, 20, 14, 20
34, 0.5, 0.7, 1.2, x-, y+, y+, 20, 15, 21
35, 0.4, 0.7999999999999999, 1.2, x-, y+, y+, 20, 16, 22
36, 0.30000000000000004, 0.7, 1.0999999999999999, x-, y-, y-, 20, 17, 22
37, 0.4, 0.7999999999999999, 1.2, x+, y+, y+, 21, 17, 23
38, 0.5, 0.7, 1.2, x+, y-, y+, 22, 17, 23
39, 0.4, 0.7999999999999999, 1.2, x-, y+, y+, 22, 18, 24
