0, -0.1, -0.1, 0.6, x-, y-, y+, 0, 1, 0
1, -0.2, 0.0, 0.5, x-, y+, y-, 0, 2, 1
2, -0.30000000000000004, -0.1, 0.4, x-, y-, y-, 0, 3, 1
3, -0.4, 0.0, 0.30000000000000004, x-, y+, y-, 0, 4, 2
4, -0.30000000000000004, -0.1, 0.4, x+, y-, y+, 1, 4, 2
5, -0.4, -0.2, 0.30000000000000004, x-, y-, y-, 1, 5, 2
6, -0.30000000000000004, -0.30000000000000004, 0.4, x+, y-, y+, 2, 5, 2
7, -0.20000000000000004, -0.20000000000000004, 0.30000000000000004, x+, y+, y-, 3, 5, 3
8, -0.30000000000000004, -0.30000000000000004, 0.4, x-, y-, y+, 3, 6, 3
9, -0.4, -0.4, 0.5, x-, y-, y+, 3, 7, 3
10, -0.5, -0.30000000000000004, 0.6, x-, y+, y+, 3, 8, 4
11, -0.4, -0.20000000000000004, 0.7, x+, y+, y+, 4, 8, 5
12, -0.5, -0.30000000000000004, 0.6, x-, y-, y-, 4, 9, 5
13, -0.4, -0.20000000000000004, 0.5, x+, y+, y-, 5, 9, 6
14, -0.30000000000000004, -0.10000000000000003, 0.4, x+, y+, y-, 6, 9, 7
15, -0.4, -2.7755575615628914e-17, 0.5, x-, y+, y+, 6, 10, 8
16, -0.30000000000000004, 0.09999999999999998, 0.4, x+, y+, y-, 7, 10, 9
17, -0.20000000000000004, -2.7755575615628914e-17, 0.30000000000000004, x+, y-, y-, 8, 10, 9
18, -0.30000000000000004, -0.10000000000000003, 0.20000000000000004, x-, y-, y-, 8, 11, 9
19, -0.20000000000000004, -0.20000000000000004, 0.30000000000000004, x+, y-, y+, 9, 11, 9
20, -0.30000000000000004, -0.30000000000000004, 0.4, x-, y-, y+, 9, 12, 9
21, -0.20000000000000004, -0.4, 0.5, x+, y-, y+, 10, 12, 9
22, -0.30000000000000004, -0.5, 0.6, x-, y-, y+, 10, 13, 9
23, -0.4, -0.6, 0.5, x-, y-, y-, 10, 14, 9
24, -0.5, -0.5, 0.6, x-, y+, y+, 10, 15, 10
25, -0.4, -0.6, 0.7, x+, y-, y+, 11, 15, 10
26, -0.30000000000000004, -0.7, 0.6, x+, y-, y-, 12, 15, 10
27, -0.20000000000000004, -0.6, 0.5, x+, y+, y-, 13, 15, 11
28, -0.10000000000000003, -0.7, 0.4, x+, y-, y-, 14, 15, 11
29, -0.20000000000000004, -0.6, 0.5, x-, y+, y+, 14, 16, 12
30, -0.30000000000000004, -0.5, 0.4, x-, y+, y-, 14, 17, 13
31, -0.20000000000000004, -0.6, 0.30000000000000004, x+, y-, y-, 15, 17, 13
32, -0.10000000000000003, -0.5, 0.4, x+, y+, y+, 16, 17, 14
33, -0.20000000000000004, -0.6, 0.30000000000000004, x-, y-, y-, 16, 18, 14
34, -0.30000000000000004, -0.7, 0.20000000000000004, x-, y-, y-, 16, 19, 14
35, -0.20000000000000004, -0.7999999999999999, 0.10000000000000003, x+, y-, y-, 17, 19, 14
36, -0.10000000000000003, -0.8999999999999999, 0.20000000000000004, x+, y-, y+, 18, 19, 14
37, -0.20000000000000004, -0.7999999999999999, 0.30000000000000004, x-, y+, y+, 18, 20, 15
38, -0.10000000000000003, -0.7, 0.4, x+, y+, y+, 19, 20, 16
39, -2.7755575615628914e-17, -0.7999999999999999, 0.30000000000000004, x+, y-, y-, 20, 20, 16
