0, -0.1, 0.1, 0.6, x-, y+, y+, 0, 1, 1
1, 0.0, 0.2, 0.7, x+, y+, y+, 1, 1, 2
2, -0.1, 0.1, 0.7999999999999999, x-, y-, y+, 1, 2, 2
3, -0.2, 0.2, 0.7, x-, y+, y-, 1, 3, 3
4, -0.1, 0.1, 0.6, x+, y-, y-, 2, 3, 3
5, 0.0, 0.0, 0.7, x+, y-, y+, 3, 3, 3
6, 0.1, -0.1, 0.6, x+, y-, y-, 4, 3, 3
7, 0.0, 0.0, 0.7, x-, y+, y+, 4, 4, 4
8, -0.1, -0.1, 0.6, x-, y-, y-, 4, 5, 4
9, 0.0, -0.2, 0.5, x+, y-, y-, 5, 5, 4
10, -0.1, -0.1, 0.4, x-, y+, y-, 5, 6, 5
11, 0.0, 0.0, 0.5, x+, y+, y+, 6, 6, 6
12, 0.1, -0.1, 0.6, x+, y-, y+, 7, 6, 6
13, 0.2, 0.0, 0.7, x+, y+, y+, 8, 6, 7
14, 0.30000000000000004, -0.1, 0.6, x+, y-, y-, 9, 6, 7
15, 0.4, 0.0, 0.7, x+, y+, y+, 10, 6, 8
16, 0.30000000000000004, -0.1, 0.6, x-, y-, y-, 10, 7, 8
17, 0.20000000000000004, 0.0, 0.5, x-, y+, y-, 10, 8, 9
18, 0.10000000000000003, -0.1, 0.6, x-, y-, y+, 10, 9, 9
19, 2.7755575615628914e-17, 0.0, 0.5, x-, y+, y-, 10, 10, 10
20, 0.10000000000000003, -0.1, 0.6, x+, y-, y+, 11, 10, 10
21, 2.7755575615628914e-17, 0.0, 0.7, x-, y+, y+, 11, 11, 11
22, 0.10000000000000003, 0.1, 0.6, x+, y+, y-, 12, 11, 12
23, 2.7755575615628914e-17, 0.0, 0.7, x-, y-, y+, 12, 12, 12
24, 0.10000000000000003, -0.1, 0.6, x+, y-, y-, 13, 12, 12
25, 0.20000000000000004, 0.0, 0.7, x+, y+, y+, 14, 12, 13
26, 0.30000000000000004, -0.1, 0.7999999999999999, x+, y-, y+, 15, 12, 13
27, 0.4, 0.0, 0.7, x+, y+, y-, 16, 12, 14
28, 0.30000000000000004, -0.1, 0.6, x-, y-, y-, 16, 13, 14
29, 0.20000000000000004, -0.2, 0.5, x-, y-, y-, 16, 14, 14
30, 0.10000000000000003, -0.1, 0.4, x-, y+, y-, 16, 15, 15
31, 0.20000000000000004, 0.0, 0.30000000000000004, x+, y+, y-, 17, 15, 16
32, 0.10000000000000003, 0.1, 0.20000000000000004, x-, y+, y-, 17, 16, 17
33, 2.7755575615628914e-17, 0.2, 0.30000000000000004, x-, y+, y+, 17, 17, 18
34, -0.09999999999999998, 0.1, 0.20000000000000004, x-, y-, y-, 17, 18, 18
35, 2.7755575615628914e-17, 0.2, 0.30000000000000004, x+, y+, y+, 18, 18, 19
36, 0.10000000000000003, 0.1, 0.20000000000000004, x+, y-, y-, 19, 18, 19
37, 0.20000000000000004, 0.0, 0.30000000000000004, x+, y-, y+, 20, 18, 19
38, 0.10000000000000003, -0.1, 0.4, x-, y-, y+, 20, 19, 19
39, 2.7755575615628914e-17, 0.0, 0.5, x-, y+, y+, 20, 20, 20
