0, -0.1, -0.1, 0.4, x-, y-, y-, 0, 1, 0
1, 0.0, -0.2, 0.5, x+, y-, y+, 1, 1, 0
2, 0.1, -0.1, 0.6, x+, y+, y+, 2, 1, 1
3, 0.2, -0.2, 0.7, x+, y-, y+, 3, 1, 1
4, 0.1, -0.1, 0.7999999999999999, x-, y+, y+, 3, 2, 2
5, 0.0, -0.2, 0.7, x-, y-, y-, 3, 3, 2
6, -0.1, -0.1, 0.6, x-, y+, y-, 3, 4, 3
7, 0.0, 0.0, 0.7, x+, y+, y+, 4, 4, 4
8, -0.1, -0.1, 0.6, x-, y-, y-, 4, 5, 4
9, 0.0, -0.2, 0.7, x+, y-, y+, 5, 5, 4
10, -0.1, -0.30000000000000004, 0.6, x-, y-, y-, 5, 6, 4
11, 0.0, -0.4, 0.5, x+, y-, y-, 6, 6, 4
12, -0.1, -0.5, 0.4, x-, y-, y-, 6, 7, 4
13, -0.2, -0.4, 0.5, x-, y+, y+, 6, 8, 5
14, -0.1, -0.5, 0.6, x+, y-, y+, 7, 8, 5
15, -0.2, -0.4, 0.5, x-, y+, y-, 7, 9, 6
16, -0.30000000000000004, -0.5, 0.4, x-, y-, y-, 7, 10, 6
17, -0.4, -0.4, 0.30000000000000004, x-, y+, y-, 7, 11, 7
18, -0.30000000000000004, -0.30000000000000004, 0.20000000000000004, x+, y+, y-, 8, 11, 8
19, -0.20000000000000004, -0.4, 0.10000000000000003, x+, y-, y-, 9, 11, 8
20, -0.30000000000000004, -0.30000000000000004, 0.10000000000000003, x-, y+, y-, 9, 12, 9
21, -0.4, -0.4, 0.20000000000000004, x-, y-, y+, 9, 13, 9
22, -0.30000000000000004, -0.5, 0.30000000000000004, x+, y-, y+, 10, 13, 9
23, -0.20000000000000004, -0.6, 0.4, x+, y-, y+, 11, 13, 9
24, -0.10000000000000003, -0.5, 0.5, x+, y+, y+, 12, 13, 10
25, -0.20000000000000004, -0.4, 0.4, x-, y+, y-, 12, 14, 11
26, -0.30000000000000004, -0.30000000000000004, 0.5, x-, y+, y+, 12, 15, 12
27, -0.20000000000000004, -0.4, 0.4, x+, y-, y-, 13, 15, 12
28, -0.30000000000000004, -0.30000000000000004, 0.5, x-, y+, y+, 13, 16, 13
29, -0.20000000000000004, -0.4, 0.4, x+, y-, y-, 14, 16, 13
30, -0.10000000000000003, -0.5, 0.5, x+, y-, y+, 15, 16, 13
31, -0.20000000000000004, -0.6, 0.4, x-, y-, y-, 15, 17, 13
32, -0.30000000000000004, -0.5, 0.5, x-, y+, y+, 15, 18, 14
33, -0.20000000000000004, -0.6, 0.6, x+, y-, y+, 16, 18, 14
34, -0.30000000000000004, -0.7, 0.5, x-, y-, y-, 16, 19, 14
35, -0.4, -0.6, 0.6, x-, y+, y+, 16, 20, 15
36, -0.5, -0.5, 0.5, x-, y+, y-, 16, 21, 16
37, -0.4, -0.6, 0.6, x+, y-, y+, 17, 21, 16
38, -0.30000000000000004, -0.7, 0.5, x+, y-, y-, 18, 21, 16
39, -0.20000000000000004, -0.6, 0.6, x+, y+, y+, 19, 21, 17
