0, 0.1, 0.1, 0.4, x+, y+, y-, 1, 0, 1
1, 0.0, 0.2, 0.30000000000000004, x-, y+, y-, 1, 1, 2
2, 0.1, 0.30000000000000004, 0.20000000000000004, x+, y+, y-, 2, 1, 3
3, 0.0, 0.20000000000000004, 0.30000000000000004, x-, y-, y+, 2, 2, 3
4, 0.1, 0.30000000000000004, 0.20000000000000004, x+, y+, y-, 3, 2, 4
5, 0.0, 0.4, 0.10000000000000003, x-, y+, y-, 3, 3, 5
6, 0.1, 0.30000000000000004, 0.10000000000000003, x+, y-, y-, 4, 3, 5
7, 0.0, 0.4, 0.20000000000000004, x-, y+, y+, 4, 4, 6
8, 0.1, 0.5, 0.10000000000000003, x+, y+, y-, 5, 4, 7
9, 0.0, 0.6, 0.10000000000000003, x-, y+, y-, 5, 5, 8
10, 0.1, 0.7, 0.10000000000000003, x+, y+, y-, 6, 5, 9
11, 0.2, 0.7999999999999999, 0.10000000000000003, x+, y+, y-, 7, 5, 10
12, 0.1, 0.8999999999999999, 0.10000000000000003, x-, y+, y-, 7, 6, 11
13, 0.0, 0.9999999999999999, 0.10000000000000003, x-, y+, y-, 7, 7, 12
14, -0.1, 0.8999999999999999, 0.20000000000000004, x-, y-, y+, 7, 8, 12
15, 0.0, 0.7999999999999999, 0.10000000000000003, x+, y-, y-, 8, 8, 12
16, 0.1, 0.8999999999999999, 0.10000000000000003, x+, y+, y-, 9, 8, 13
17, 0.2, 0.7999999999999999, 0.20000000000000004, x+, y-, y+, 10, 8, 13
18, 0.30000000000000004, 0.8999999999999999, 0.10000000000000003, x+, y+, y-, 11, 8, 14
19, 0.4, 0.9999999999999999, 0.20000000000000004, x+, y+, y+, 12, 8, 15
20, 0.30000000000000004, 0.8999999999999999, 0.10000000000000003, x-, y-, y-, 12, 9, 15
21, 0.20000000000000004, 0.9999999999999999, 0.10000000000000003, x-, y+, y-, 12, 10, 16
22, 0.30000000000000004, 0.8999999999999999, 0.10000000000000003, x+, y-, y-, 13, 10, 16
23, 0.20000000000000004, 0.9999999999999999, 0.20000000000000004, x-, y+, y+, 13, 11, 17
24, 0.30000000000000004, 0.8999999999999999, 0.10000000000000003, x+, y-, y-, 14, 11, 17
25, 0.20000000000000004, 0.9999999999999999, 0.10000000000000003, x-, y+, y-, 14, 12, 18
26, 0.30000000000000004, 0.8999999999999999, 0.10000000000000003, x+, y-, y-, 15, 12, 18
27, 0.20000000000000004, 0.9999999999999999, 0.20000000000000004, x-, y+, y+, 15, 13, 19
28, 0.10000000000000003, 1.0999999999999999, 0.30000000000000004, x-, y+, y+, 15, 14, 20
29, 0.20000000000000004, 1.2, 0.4, x+, y+, y+, 16, 14, 21
30, 0.30000000000000004, 1.3, 0.30000000000000004, x+, y+, y-, 17, 14, 22
31, 0.20000000000000004, 1.4000000000000001, 0.20000000000000004, x-, y+, y-, 17, 15, 23
32, 0.10000000000000003, 1.3, 0.30000000000000004, x-, y-, y+, 17, 16, 23
33, 0.20000000000000004, 1.4000000000000001, 0.20000000000000004, x+, y+, y-, 18, 16, 24
34, 0.10000000000000003, 1.5000000000000002, 0.30000000000000004, x-, y+, y+, 18, 17, 25
35, 2.7755575615628914e-17, 1.4000000000000001, 0.4, x-, y-, y+, 18, 18, 25
36, -0.09999999999999998, 1.3, 0.5, x-, y-, y+, 18, 19, 25
37, -0.19999999999999998, 1.4000000000000001, 0.4, x-, y+, y-, 18, 20, 26
38, -0.09999999999999998, 1.3, 0.30000000000000004, x+, y-, y-, 19, 20, 26
39, -0.19999999999999998, 1.4000000000000001, 0.20000000000000004, x-, y+, y-, 19, 21, 27
