0, -0.1, 0.1, 0.6, x-, y+, y+, 0, 1, 1
1, -0.2, 0.0, 0.7, x-, y-, y+, 0, 2, 1
2, -0.30000000000000004, 0.1, 0.6, x-, y+, y-, 0, 3, 2
3, -0.4, 0.0, 0.7, x-, y-, y+, 0, 4, 2
4, -0.30000000000000004, -0.1, 0.6, x+, y-, y-, 1, 4, 2
5, -0.20000000000000004, -0.2, 0.7, x+, y-, y+, 2, 4, 2
6, -0.30000000000000004, -0.30000000000000004, 0.6, x-, y-, y-, 2, 5, 2
7, -0.4, -0.4, 0.5, x-, y-, y-, 2, 6, 2
8, -0.30000000000000004, -0.5, 0.6, x+, y-, y+, 3, 6, 2
9, -0.4, -0.6, 0.5, x-, y-, y-, 3, 7, 2
10, -0.30000000000000004, -0.5, 0.6, x+, y+, y+, 4, 7, 3
11, -0.4, -0.4, 0.5, x-, y+, y-, 4, 8, 4
12, -0.30000000000000004, -0.30000000000000004, 0.4, x+, y+, y-, 5, 8, 5
13, -0.4, -0.4, 0.30000000000000004, x-, y-, y-, 5, 9, 5
14, -0.30000000000000004, -0.30000000000000004, 0.20000000000000004, x+, y+, y-, 6, 9, 6
15, -0.20000000000000004, -0.20000000000000004, 0.10000000000000003, x+, y+, y-, 7, 9, 7
16, -0.30000000000000004, -0.30000000000000004, 0.20000000000000004, x-, y-, y+, 7, 10, 7
17, -0.20000000000000004, -0.20000000000000004, 0.10000000000000003, x+, y+, y-, 8, 10, 8
18, -0.10000000000000003, -0.30000000000000004, 0.10000000000000003, x+, y-, y-, 9, 10, 8
19, -2.7755575615628914e-17, -0.20000000000000004, 0.10000000000000003, x+, y+, y-, 10, 10, 9
20, 0.09999999999999998, -0.10000000000000003, 0.10000000000000003, x+, y+, y-, 11, 10, 10
21, -2.7755575615628914e-17, -2.7755575615628914e-17, 0.10000000000000003, x-, y+, y-, 11, 11, 11
22, -0.10000000000000003, -0.10000000000000003, 0.10000000000000003, x-, y-, y-, 11, 12, 11
23, -0.20000000000000004, -2.7755575615628914e-17, 0.20000000000000004, x-, y+, y+, 11, 13, 12
24, -0.10000000000000003, -0.10000000000000003, 0.10000000000000003, x+, y-, y-, 12, 13, 12
25, -2.7755575615628914e-17, -2.7755575615628914e-17, 0.20000000000000004, x+, y+, y+, 13, 13, 13
26, -0.10000000000000003, -0.10000000000000003, 0.30000000000000004, x-, y-, y+, 13, 14, 13
27, -0.20000000000000004, -2.7755575615628914e-17, 0.20000000000000004, x-, y+, y-, 13, 15, 14
28, -0.10000000000000003, -0.10000000000000003, 0.30000000000000004, x+, y-, y+, 14, 15, 14
29, -2.7755575615628914e-17, -0.20000000000000004, 0.4, x+, y-, y+, 15, 15, 14
30, -0.10000000000000003, -0.10000000000000003, 0.30000000000000004, x-, y+, y-, 15, 16, 15
31, -0.20000000000000004, -2.7755575615628914e-17, 0.4, x-, y+, y+, 15, 17, 16
32, -0.10000000000000003, -0.10000000000000003, 0.5, x+, y-, y+, 16, 17, 16
33, -0.20000000000000004, -2.7755575615628914e-17, 0.6, x-, y+, y+, 16, 18, 17
34, -0.10000000000000003, -0.10000000000000003, 0.5, x+, y-, y-, 17, 18, 17
35, -2.7755575615628914e-17, -2.7755575615628914e-17, 0.6, x+, y+, y+, 18, 18, 18
36, 0.09999999999999998, 0.09999999999999998, 0.5, x+, y+, y-, 19, 18, 19
37, 0.19999999999999998, 0.19999999999999998, 0.4, x+, y+, y-, 20, 18, 20
38, 0.09999999999999998, 0.3, 0.5, x-, y+, y+, 20, 19, 21
39, -2.7755575615628914e-17, 0.19999999999999998, 0.4, x-, y-, y-, 20, 20, 21
