0, 0.1, 0.1, 0.4, x+, y+, y-, 1, 0, 1
1, 0.0, 0.0, 0.30000000000000004, x-, y-, y-, 1, 1, 1
2, 0.1, 0.1, 0.4, x+, y+, y+, 2, 1, 2
3, 0.2, 0.2, 0.5, x+, y+, y+, 3, 1, 3
4, 0.30000000000000004, 0.1, 0.6, x+, y-, y+, 4, 1, 3
5, 0.20000000000000004, 0.2, 0.7, x-, y+, y+, 4, 2, 4
6, 0.30000000000000004, 0.1, 0.6, x+, y-, y-, 5, 2, 4
7, 0.20000000000000004, 0.0, 0.5, x-, y-, y-, 5, 3, 4
8, 0.30000000000000004, 0.1, 0.4, x+, y+, y-, 6, 3, 5
9, 0.4, 0.2, 0.30000000000000004, x+, y+, y-, 7, 3, 6
10, 0.30000000000000004, 0.30000000000000004, 0.4, x-, y+, y+, 7, 4, 7
11, 0.4, 0.20000000000000004, 0.30000000000000004, x+, y-, y-, 8, 4, 7
12, 0.30000000000000004, 0.10000000000000003, 0.20000000000000004, x-, y-, y-, 8, 5, 7
13, 0.20000000000000004, 2.7755575615628914e-17, 0.10000000000000003, x-, y-, y-, 8, 6, 7
14, 0.30000000000000004, -0.09999999999999998, 0.10000000000000003, x+, y-, y-, 9, 6, 7
15, 0.4, 2.7755575615628914e-17, 0.20000000000000004, x+, y+, y+, 10, 6, 8
16, 0.30000000000000004, 0.10000000000000003, 0.30000000000000004, x-, y+, y+, 10, 7, 9
17, 0.4, 2.7755575615628914e-17, 0.20000000000000004, x+, y-, y-, 11, 7, 9
18, 0.5, 0.10000000000000003, 0.30000000000000004, x+, y+, y+, 12, 7, 10
19, 0.4, 0.20000000000000004, 0.4, x-, y+, y+, 12, 8, 11
20, 0.30000000000000004, 0.10000000000000003, 0.30000000000000004, x-, y-, y-, 12, 9, 11
21, 0.4, 0.20000000000000004, 0.4, x+, y+, y+, 13, 9, 12
22, 0.30000000000000004, 0.30000000000000004, 0.5, x-, y+, y+, 13, 10, 13
23, 0.4, 0.20000000000000004, 0.4, x+, y-, y-, 14, 10, 13
24, 0.30000000000000004, 0.10000000000000003, 0.30000000000000004, x-, y-, y-, 14, 11, 13
25, 0.20000000000000004, 0.20000000000000004, 0.20000000000000004, x-, y+, y-, 14, 12, 14
26, 0.30000000000000004, 0.10000000000000003, 0.30000000000000004, x+, y-, y+, 15, 12, 14
27, 0.20000000000000004, 0.20000000000000004, 0.20000000000000004, x-, y+, y-, 15, 13, 15
28, 0.30000000000000004, 0.10000000000000003, 0.30000000000000004, x+, y-, y+, 16, 13, 15
29, 0.20000000000000004, 0.20000000000000004, 0.4, x-, y+, y+, 16, 14, 16
30, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, x+, y+, y-, 17, 14, 17
31, 0.4, 0.20000000000000004, 0.4, x+, y-, y+, 18, 14, 17
32, 0.5, 0.10000000000000003, 0.30000000000000004, x+, y-, y-, 19, 14, 17
33, 0.6, 0.20000000000000004, 0.4, x+, y+, y+, 20, 14, 18
34, 0.5, 0.10000000000000003, 0.30000000000000004, x-, y-, y-, 20, 15, 18
35, 0.4, 0.20000000000000004, 0.20000000000000004, x-, y+, y-, 20, 16, 19
36, 0.30000000000000004, 0.30000000000000004, 0.10000000000000003, x-, y+, y-, 20, 17, 20
37, 0.4, 0.4, 0.20000000000000004, x+, y+, y+, 21, 17, 21
38, 0.5, 0.30000000000000004, 0.10000000000000003, x+, y-, y-, 22, 17, 21
39, 0.6, 0.4, 0.20000000000000004, x+, y+, y+, 23, 17, 22
