0, -0.1, -0.1, 0.6, x-, y-, y+, 0, 1, 0
1, 0.0, -0.2, 0.5, x+, y-, y-, 1, 1, 0
2, -0.1, -0.30000000000000004, 0.6, x-, y-, y+, 1, 2, 0
3, -0.2, -0.20000000000000004, 0.7, x-, y+, y+, 1, 3, 1
4, -0.30000000000000004, -0.30000000000000004, 0.7999999999999999, x-, y-, y+, 1, 4, 1
5, -0.20000000000000004, -0.20000000000000004, 0.8999999999999999, x+, y+, y+, 2, 4, 2
6, -0.10000000000000003, -0.10000000000000003, 0.7999999999999999, x+, y+, y-, 3, 4, 3
7, -0.20000000000000004, -2.7755575615628914e-17, 0.8999999999999999, x-, y+, y+, 3, 5, 4
8, -0.30000000000000004, -0.10000000000000003, 0.7999999999999999, x-, y-, y-, 3, 6, 4
9, -0.4, -0.20000000000000004, 0.7, x-, y-, y-, 3, 7, 4
10, -0.5, -0.30000000000000004, 0.6, x-, y-, y-, 3, 8, 4
11, -0.4, -0.20000000000000004, 0.5, x+, y+, y-, 4, 8, 5
12, -0.5, -0.10000000000000003, 0.4, x-, y+, y-, 4, 9, 6
13, -0.6, -0.20000000000000004, 0.30000000000000004, x-, y-, y-, 4, 10, 6
14, -0.5, -0.10000000000000003, 0.4, x+, y+, y+, 5, 10, 7
15, -0.4, -2.7755575615628914e-17, 0.5, x+, y+, y+, 6, 10, 8
16, -0.5, -0.10000000000000003, 0.4, x-, y-, y-, 6, 11, 8
17, -0.4, -0.20000000000000004, 0.30000000000000004, x+, y-, y-, 7, 11, 8
18, -0.5, -0.30000000000000004, 0.20000000000000004, x-, y-, y-, 7, 12, 8
19, -0.6, -0.20000000000000004, 0.10000000000000003, x-, y+, y-, 7, 13, 9
20, -0.5, -0.10000000000000003, 0.20000000000000004, x+, y+, y+, 8, 13, 10
21, -0.4, -0.20000000000000004, 0.30000000000000004, x+, y-, y+, 9, 13, 10
22, -0.30000000000000004, -0.10000000000000003, 0.4, x+, y+, y+, 10, 13, 11
23, -0.4, -0.20000000000000004, 0.5, x-, y-, y+, 10, 14, 11
24, -0.30000000000000004, -0.30000000000000004, 0.6, x+, y-, y+, 11, 14, 11
25, -0.20000000000000004, -0.20000000000000004, 0.7, x+, y+, y+, 12, 14, 12
26, -0.10000000000000003, -0.10000000000000003, 0.6, x+, y+, y-, 13, 14, 13
27, -0.20000000000000004, -0.20000000000000004, 0.5, x-, y-, y-, 13, 15, 13
28, -0.30000000000000004, -0.30000000000000004, 0.4, x-, y-, y-, 13, 16, 13
29, -0.20000000000000004, -0.20000000000000004, 0.5, x+, y+, y+, 14, 16, 14
30, -0.10000000000000003, -0.30000000000000004, 0.4, x+, y-, y-, 15, 16, 14
31, -0.20000000000000004, -0.4, 0.5, x-, y-, y+, 15, 17, 14
32, -0.10000000000000003, -0.5, 0.4, x+, y-, y-, 16, 17, 14
33, -0.20000000000000004, -0.4, 0.30000000000000004, x-, y+, y-, 16, 18, 15
34, -0.30000000000000004, -0.30000000000000004, 0.20000000000000004, x-, y+, y-, 16, 19, 16
35, -0.4, -0.20000000000000004, 0.10000000000000003, x-, y+, y-, 16, 20, 17
36, -0.5, -0.30000000000000004, 0.20000000000000004, x-, y-, y+, 16, 21, 17
37, -0.4, -0.20000000000000004, 0.30000000000000004, x+, y+, y+, 17, 21, 18
38, -0.30000000000000004, -0.30000000000000004, 0.4, x+, y-, y+, 18, 21, 18
39, -0.4, -0.20000000000000004, 0.30000000000000004, x-, y+, y-, 18, 22, 19
