0, 0.1, -0.1, 0.6, x+, y-, y+, 1, 0, 0
1, 0.0, 0.0, 0.7, x-, y+, y+, 1, 1, 1
2, -0.1, -0.1, 0.7999999999999999, x-, y-, y+, 1, 2, 1
3, 0.0, 0.0, 0.7, x+, y+, y-, 2, 2, 2
4, 0.1, -0.1, 0.7999999999999999, x+, y-, y+, 3, 2, 2
5, 0.0, 0.0, 0.7, x-, y+, y-, 3, 3, 3
6, -0.1, 0.1, 0.7999999999999999, x-, y+, y+, 3, 4, 4
7, 0.0, 0.0, 0.7, x+, y-, y-, 4, 4, 4
8, -0.1, 0.1, 0.6, x-, y+, y-, 4, 5, 5
9, -0.2, 0.2, 0.5, x-, y+, y-, 4, 6, 6
10, -0.1, 0.30000000000000004, 0.4, x+, y+, y-, 5, 6, 7
11, 0.0, 0.20000000000000004, 0.5, x+, y-, y+, 6, 6, 7
12, 0.1, 0.10000000000000003, 0.4, x+, y-, y-, 7, 6, 7
13, 0.2, 2.7755575615628914e-17, 0.5, x+, y-, y+, 8, 6, 7
14, 0.1, 0.10000000000000003, 0.6, x-, y+, y+, 8, 7, 8
15, 0.0, 0.20000000000000004, 0.7, x-, y+, y+, 8, 8, 9
16, -0.1, 0.10000000000000003, 0.6, x-, y-, y-, 8, 9, 9
17, -0.2, 0.20000000000000004, 0.7, x-, y+, y+, 8, 10, 10
18, -0.1, 0.30000000000000004, 0.7999999999999999, x+, y+, y+, 9, 10, 11
19, 0.0, 0.4, 0.7, x+, y+, y-, 10, 10, 12
20, -0.1, 0.30000000000000004, 0.6, x-, y-, y-, 10, 11, 12
21, 0.0, 0.4, 0.5, x+, y+, y-, 11, 11, 13
22, 0.1, 0.30000000000000004, 0.6, x+, y-, y+, 12, 11, 13
23, 0.2, 0.20000000000000004, 0.5, x+, y-, y-, 13, 11, 13
24, 0.30000000000000004, 0.30000000000000004, 0.6, x+, y+, y+, 14, 11, 14
25, 0.4, 0.20000000000000004, 0.7, x+, y-, y+, 15, 11, 14
26, 0.30000000000000004, 0.30000000000000004, 0.7999999999999999, x-, y+, y+, 15, 12, 15
27, 0.4, 0.20000000000000004, 0.8999999999999999, x+, y-, y+, 16, 12, 15
28, 0.30000000000000004, 0.30000000000000004, 0.9999999999999999, x-, y+, y+, 16, 13, 16
29, 0.20000000000000004, 0.20000000000000004, 0.8999999999999999, x-, y-, y-, 16, 14, 16
30, 0.30000000000000004, 0.10000000000000003, 0.7999999999999999, x+, y-, y-, 17, 14, 16
31, 0.4, 2.7755575615628914e-17, 0.7, x+, y-, y-, 18, 14, 16
32, 0.30000000000000004, -0.09999999999999998, 0.7999999999999999, x-, y-, y+, 18, 15, 16
33, 0.20000000000000004, -0.19999999999999998, 0.7, x-, y-, y-, 18, 16, 16
34, 0.30000000000000004, -0.3, 0.7999999999999999, x+, y-, y+, 19, 16, 16
35, 0.20000000000000004, -0.4, 0.7, x-, y-, y-, 19, 17, 16
36, 0.10000000000000003, -0.30000000000000004, 0.7999999999999999, x-, y+, y+, 19, 18, 17
37, 0.20000000000000004, -0.4, 0.8999999999999999, x+, y-, y+, 20, 18, 17
38, 0.10000000000000003, -0.30000000000000004, 0.7999999999999999, x-, y+, y-, 20, 19, 18
39, 0.20000000000000004, -0.4, 0.7, x+, y-, y-, 21, 19, 18
