0, 0.1, 0.1, 0.6, x+, y+, y+, 1, 0, 1
1, 0.2, 0.2, 0.7, x+, y+, y+, 2, 0, 2
2, 0.1, 0.30000000000000004, 0.6, x-, y+, y-, 2, 1, 3
3, 0.0, 0.4, 0.5, x-, y+, y-, 2, 2, 4
4, -0.1, 0.5, 0.4, x-, y+, y-, 2, 3, 5
5, 0.0, 0.6, 0.30000000000000004, x+, y+, y-, 3, 3, 6
6, 0.1, 0.7, 0.20000000000000004, x+, y+, y-, 4, 3, 7
7, 0.2, 0.6, 0.10000000000000003, x+, y-, y-, 5, 3, 7
8, 0.1, 0.7, 0.20000000000000004, x-, y+, y+, 5, 4, 8
9, 0.0, 0.6, 0.30000000000000004, x-, y-, y+, 5, 5, 8
10, 0.1, 0.7, 0.20000000000000004, x+, y+, y-, 6, 5, 9
11, 0.0, 0.7999999999999999, 0.10000000000000003, x-, y+, y-, 6, 6, 10
12, 0.1, 0.8999999999999999, 0.10000000000000003, x+, y+, y-, 7, 6, 11
13, 0.2, 0.7999999999999999, 0.10000000000000003, x+, y-, y-, 8, 6, 11
14, 0.30000000000000004, 0.7, 0.20000000000000004, x+, y-, y+, 9, 6, 11
15, 0.20000000000000004, 0.6, 0.30000000000000004, x-, y-, y+, 9, 7, 11
16, 0.10000000000000003, 0.5, 0.20000000000000004, x-, y-, y-, 9, 8, 11
17, 2.7755575615628914e-17, 0.4, 0.30000000000000004, x-, y-, y+, 9, 9, 11
18, -0.09999999999999998, 0.5, 0.20000000000000004, x-, y+, y-, 9, 10, 12
19, 2.7755575615628914e-17, 0.6, 0.30000000000000004, x+, y+, y+, 10, 10, 13
20, -0.09999999999999998, 0.7, 0.20000000000000004, x-, y+, y-, 10, 11, 14
21, 2.7755575615628914e-17, 0.7999999999999999, 0.30000000000000004, x+, y+, y+, 11, 11, 15
22, -0.09999999999999998, 0.7, 0.4, x-, y-, y+, 11, 12, 15
23, -0.19999999999999998, 0.6, 0.5, x-, y-, y+, 11, 13, 15
24, -0.09999999999999998, 0.5, 0.4, x+, y-, y-, 12, 13, 15
25, -0.19999999999999998, 0.4, 0.5, x-, y-, y+, 12, 14, 15
26, -0.09999999999999998, 0.30000000000000004, 0.4, x+, y-, y-, 13, 14, 15
27, 2.7755575615628914e-17, 0.4, 0.5, x+, y+, y+, 14, 14, 16
28, -0.09999999999999998, 0.5, 0.6, x-, y+, y+, 14, 15, 17
29, -0.19999999999999998, 0.6, 0.7, x-, y+, y+, 14, 16, 18
30, -0.09999999999999998, 0.7, 0.6, x+, y+, y-, 15, 16, 19
31, -0.19999999999999998, 0.7999999999999999, 0.5, x-, y+, y-, 15, 17, 20
32, -0.09999999999999998, 0.8999999999999999, 0.4, x+, y+, y-, 16, 17, 21
33, 2.7755575615628914e-17, 0.9999999999999999, 0.5, x+, y+, y+, 17, 17, 22
34, 0.10000000000000003, 0.8999999999999999, 0.6, x+, y-, y+, 18, 17, 22
35, 2.7755575615628914e-17, 0.9999999999999999, 0.5, x-, y+, y-, 18, 18, 23
36, -0.09999999999999998, 1.0999999999999999, 0.6, x-, y+, y+, 18, 19, 24
37, 2.7755575615628914e-17, 0.9999999999999999, 0.7, x+, y-, y+, 19, 19, 24
38, 0.10000000000000003, 0.8999999999999999, 0.7999999999999999, x+, y-, y+, 20, 19, 24
39, 2.7755575615628914e-17, 0.9999999999999999, 0.7, x-, y+, y-, 20, 20, 25
