0, -0.1, -0.1, 0.4, x-, y-, y-, 0, 1, 0
1, -0.2, -0.2, 0.5, x-, y-, y+, 0, 2, 0
2, -0.1, -0.1, 0.6, x+, y+, y+, 1, 2, 1
3, -0.2, 0.0, 0.5, x-, y+, y-, 1, 3, 2
4, -0.1, 0.1, 0.6, x+, y+, y+, 2, 3, 3
5, -0.2, 0.2, 0.5, x-, y+, y-, 2, 4, 4
6, -0.1, 0.1, 0.4, x+, y-, y-, 3, 4, 4
7, 0.0, 0.0, 0.5, x+, y-, y+, 4, 4, 4
8, 0.1, 0.1, 0.6, x+, y+, y+, 5, 4, 5
9, 0.2, 0.0, 0.7, x+, y-, y+, 6, 4, 5
10, 0.30000000000000004, -0.1, 0.7999999999999999, x+, y-, y+, 7, 4, 5
11, 0.4, -0.2, 0.8999999999999999, x+, y-, y+, 8, 4, 5
12, 0.5, -0.1, 0.9999999999999999, x+, y+, y+, 9, 4, 6
13, 0.6, -0.2, 0.8999999999999999, x+, y-, y-, 10, 4, 6
14, 0.5, -0.30000000000000004, 0.9999999999999999, x-, y-, y+, 10, 5, 6
15, 0.6, -0.20000000000000004, 1.0999999999999999, x+, y+, y+, 11, 5, 7
16, 0.7, -0.30000000000000004, 0.9999999999999999, x+, y-, y-, 12, 5, 7
17, 0.6, -0.20000000000000004, 1.0999999999999999, x-, y+, y+, 12, 6, 8
18, 0.5, -0.10000000000000003, 0.9999999999999999, x-, y+, y-, 12, 7, 9
19, 0.6, -0.20000000000000004, 0.8999999999999999, x+, y-, y-, 13, 7, 9
20, 0.5, -0.30000000000000004, 0.7999999999999999, x-, y-, y-, 13, 8, 9
21, 0.4, -0.20000000000000004, 0.7, x-, y+, y-, 13, 9, 10
22, 0.5, -0.30000000000000004, 0.6, x+, y-, y-, 14, 9, 10
23, 0.4, -0.4, 0.7, x-, y-, y+, 14, 10, 10
24, 0.5, -0.5, 0.7999999999999999, x+, y-, y+, 15, 10, 10
25, 0.4, -0.4, 0.8999999999999999, x-, y+, y+, 15, 11, 11
26, 0.5, -0.5, 0.7999999999999999, x+, y-, y-, 16, 11, 11
27, 0.6, -0.4, 0.8999999999999999, x+, y+, y+, 17, 11, 12
28, 0.7, -0.5, 0.7999999999999999, x+, y-, y-, 18, 11, 12
29, 0.7999999999999999, -0.6, 0.7, x+, y-, y-, 19, 11, 12
30, 0.7, -0.7, 0.6, x-, y-, y-, 19, 12, 12
31, 0.7999999999999999, -0.6, 0.7, x+, y+, y+, 20, 12, 13
32, 0.7, -0.5, 0.7999999999999999, x-, y+, y+, 20, 13, 14
33, 0.6, -0.4, 0.7, x-, y+, y-, 20, 14, 15
34, 0.7, -0.5, 0.6, x+, y-, y-, 21, 14, 15
35, 0.6, -0.4, 0.7, x-, y+, y+, 21, 15, 16
36, 0.5, -0.5, 0.7999999999999999, x-, y-, y+, 21, 16, 16
37, 0.6, -0.6, 0.7, x+, y-, y-, 22, 16, 16
38, 0.5, -0.5, 0.7999999999999999, x-, y+, y+, 22, 17, 17
39, 0.6, -0.4, 0.7, x+, y+, y-, 23, 17, 18
